144LA    ADOPTED LEVELS, GAMMAS
144LA  Q 5.60E+3   114.60E+3 118.06E+3 11              85WA02
144LA  L 0.0                  (GE 3-)  40.8 S    4
144LA  L    16.28   4          (4-)
144LA  L   103.86   3          (2-)
144LA CL J$FROM GG(THETA)
144LA  L   181.83   6          (3-)
144LA  L   185.67   3          1-
144LA  L   215.14   3          1-
144LA  L   294.71   5          2-,1-

